id_registro,id_inmueble,anio_mes_dd,consumo_kwh_mes,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,perfil_calculado
REG-00001,VIV-00001,2026-07-01,379.91,284.93,1068.49,PEN,Ineficiente
REG-00002,COM-00002,2026-07-01,3369.01,2526.76,46745.06,MXN,Moderado
REG-00003,VIV-00003,2026-07-01,375.82,281.87,1536.19,BRL,Ineficiente
REG-00004,VIV-00004,2026-07-01,373.16,279.87,1049.51,PEN,Ineficiente
REG-00005,COM-00005,2026-07-01,846.67,635.0,3460.75,BRL,Eficiente
REG-00006,VIV-00006,2026-07-01,456.66,342.5,1866.62,BRL,Ineficiente
REG-00007,VIV-00007,2026-07-01,304.65,228.49,210210.8,CLP,Moderado
REG-00008,COM-00008,2026-07-01,1486.86,1115.14,1059383.0,ARS,Ineficiente
REG-00009,VIV-00009,2026-07-01,240.1,180.07,3331.3,MXN,Eficiente
REG-00010,VIV-00010,2026-07-01,280.01,210.01,199509.5,ARS,Moderado
REG-00011,VIV-00011,2026-07-01,301.9,226.42,4188.77,MXN,Moderado
REG-00012,VIV-00012,2026-07-01,320.65,240.49,228465.5,ARS,Moderado
REG-00013,VIV-00013,2026-07-01,364.5,273.38,1025.17,PEN,Moderado
REG-00014,VIV-00014,2026-07-01,413.91,310.43,5742.95,MXN,Ineficiente
REG-00015,COM-00015,2026-07-01,1570.95,1178.21,4418.29,PEN,Moderado
REG-00016,VIV-00016,2026-07-01,225.94,169.45,155894.0,CLP,Eficiente
REG-00017,VIV-00017,2026-07-01,259.18,194.38,184661.0,ARS,Eficiente
REG-00018,VIV-00018,2026-07-01,356.54,267.41,246017.2,CLP,Moderado
REG-00019,VIV-00019,2026-07-01,432.0,324.0,307800.0,ARS,Ineficiente
REG-00020,VIV-00020,2026-07-01,396.68,297.51,1621.43,BRL,Ineficiente
REG-00021,VIV-00021,2026-07-01,242.6,181.95,172852.5,ARS,Eficiente
REG-00022,VIV-00022,2026-07-01,345.9,259.42,246449.0,ARS,Moderado
REG-00023,COM-00023,2026-07-01,3312.25,2484.19,10185179.0,COP,Ineficiente
REG-00024,VIV-00024,2026-07-01,255.59,191.69,182105.5,ARS,Eficiente
REG-00025,VIV-00025,2026-07-01,331.72,248.79,1355.91,BRL,Moderado
REG-00026,VIV-00026,2026-07-01,372.24,279.18,256845.6,CLP,Ineficiente
REG-00027,COM-00027,2026-07-01,1497.84,1123.38,4212.68,PEN,Moderado
REG-00028,COM-00028,2026-07-01,1425.94,1069.45,1015977.5,ARS,Eficiente
REG-00029,VIV-00029,2026-07-01,324.66,243.5,231325.0,ARS,Moderado
REG-00030,COM-00030,2026-07-01,1004.39,753.29,3088489.0,COP,Eficiente
REG-00031,VIV-00031,2026-07-01,233.98,175.48,956.37,BRL,Eficiente
REG-00032,VIV-00032,2026-07-01,413.51,310.13,5737.4,MXN,Ineficiente
REG-00033,VIV-00033,2026-07-01,229.46,172.09,645.34,PEN,Eficiente
REG-00034,COM-00034,2026-07-01,1687.52,1265.64,5189124.0,COP,Eficiente
REG-00035,VIV-00035,2026-07-01,349.38,262.03,241067.6,CLP,Moderado
REG-00036,COM-00036,2026-07-01,936.91,702.68,2635.05,PEN,Eficiente
REG-00037,VIV-00037,2026-07-01,363.62,272.72,5045.32,MXN,Moderado
REG-00038,VIV-00038,2026-07-01,433.26,324.94,6011.39,MXN,Ineficiente
REG-00039,COM-00039,2026-07-01,2616.94,1962.7,10696.72,BRL,Moderado
REG-00040,COM-00040,2026-07-01,2665.03,1998.77,7495.39,PEN,Moderado
REG-00041,COM-00041,2026-07-01,1992.87,1494.65,6128065.0,COP,Moderado
REG-00042,COM-00042,2026-07-01,1536.75,1152.56,4322.1,PEN,Eficiente
REG-00043,VIV-00043,2026-07-01,278.37,208.78,855998.0,COP,Moderado
REG-00044,VIV-00044,2026-07-01,223.99,167.99,629.96,PEN,Eficiente
REG-00045,VIV-00045,2026-07-01,300.14,225.1,1226.8,BRL,Moderado
REG-00046,VIV-00046,2026-07-01,232.2,174.15,714015.0,COP,Eficiente
REG-00047,VIV-00047,2026-07-01,272.4,204.3,837630.0,COP,Eficiente
REG-00048,VIV-00048,2026-07-01,282.78,212.08,795.3,PEN,Moderado
REG-00049,VIV-00049,2026-07-01,273.59,205.19,1118.29,BRL,Eficiente
REG-00050,COM-00050,2026-07-01,2321.25,1740.94,9488.12,BRL,Ineficiente
REG-00051,COM-00051,2026-07-01,1674.39,1255.79,4709.21,PEN,Moderado
REG-00052,VIV-00052,2026-07-01,365.67,274.25,5073.62,MXN,Moderado
REG-00053,VIV-00053,2026-07-01,271.35,203.51,834391.0,COP,Eficiente
REG-00054,VIV-00054,2026-07-01,308.59,231.44,212924.8,CLP,Moderado
REG-00055,VIV-00055,2026-07-01,359.46,269.59,248022.8,CLP,Moderado
REG-00056,COM-00056,2026-07-01,2303.99,1727.99,9417.55,BRL,Ineficiente
REG-00057,VIV-00057,2026-07-01,253.0,189.75,777975.0,COP,Eficiente
REG-00058,VIV-00058,2026-07-01,229.02,171.77,163181.5,ARS,Eficiente
REG-00059,VIV-00059,2026-07-01,283.99,212.99,1160.8,BRL,Moderado
REG-00060,VIV-00060,2026-07-01,250.11,187.58,178201.0,ARS,Eficiente
REG-00061,VIV-00061,2026-07-01,275.87,206.9,848290.0,COP,Eficiente
REG-00062,VIV-00062,2026-07-01,247.82,185.87,1012.99,BRL,Eficiente
REG-00063,COM-00063,2026-07-01,2321.45,1741.09,9488.94,BRL,Moderado
