id_registro,id_inmueble,anio_mes_dd,pais_ubicacion,tipo_establecimiento,superficie_m2,habitantes_empleados,total_equipos,potencia_total_watts,tiene_inverter,porcentaje_inverter,consumo_kwh_dia,consumo_kwh_mes,intensidad_energetica_kwh_m2,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,pct_dist_madrugada,pct_dist_manana,pct_dist_tarde,pct_dist_noche,franja_pico_dominante,efficiency_label
REG-00001,VIV-00001,2026-07-01,Peru,Vivienda,97,6,17.0,1775.0,1.0,0.3333,12.6637,379.91,3.9166,284.93,1068.49,PEN,0.0965,0.1966,0.2665,0.4404,noche,Ineficiente
REG-00002,COM-00002,2026-07-01,Mexico,Comercio,169,11,44.0,10170.0,1.0,0.75,112.3003,3369.01,19.935,2526.76,46745.06,MXN,0.0709,0.3501,0.3693,0.2097,tarde,Moderado
REG-00003,VIV-00003,2026-07-01,Brasil,Vivienda,73,6,20.0,1820.0,1.0,0.3333,12.5273,375.82,5.1482,281.87,1536.19,BRL,0.1051,0.1494,0.2363,0.5092,noche,Ineficiente
REG-00004,VIV-00004,2026-07-01,Peru,Vivienda,40,2,15.0,1745.0,1.0,0.3333,12.4387,373.16,9.329,279.87,1049.51,PEN,0.0972,0.1872,0.2053,0.5104,noche,Ineficiente
REG-00005,COM-00005,2026-07-01,Brasil,Comercio,117,5,31.0,3325.0,1.0,1.0,28.2223,846.67,7.2365,635.0,3460.75,BRL,0.1116,0.3727,0.4136,0.1021,tarde,Eficiente
REG-00006,VIV-00006,2026-07-01,Brasil,Vivienda,104,1,32.0,2000.0,1.0,0.3333,15.222,456.66,4.391,342.5,1866.62,BRL,0.1154,0.2187,0.2791,0.3868,noche,Ineficiente
REG-00007,VIV-00007,2026-07-01,Chile,Vivienda,131,4,27.0,1755.0,1.0,0.6667,10.155,304.65,2.3256,228.49,210210.8,CLP,0.1387,0.159,0.2484,0.4539,noche,Moderado
REG-00008,COM-00008,2026-07-01,Argentina,Comercio,47,6,35.0,5705.0,1.0,1.0,49.562,1486.86,31.6353,1115.14,1059383.0,ARS,0.1085,0.3798,0.4244,0.0873,tarde,Ineficiente
REG-00009,VIV-00009,2026-07-01,Mexico,Vivienda,48,6,17.0,1605.0,1.0,0.6667,8.0033,240.1,5.0021,180.07,3331.3,MXN,0.1248,0.1981,0.2411,0.436,noche,Eficiente
REG-00010,VIV-00010,2026-07-01,Argentina,Vivienda,69,3,28.0,1770.0,1.0,0.6667,9.3337,280.01,4.0581,210.01,199509.5,ARS,0.1584,0.1768,0.279,0.3858,noche,Moderado
REG-00011,VIV-00011,2026-07-01,Mexico,Vivienda,103,2,25.0,1725.0,1.0,0.6667,10.0633,301.9,2.9311,226.42,4188.77,MXN,0.1398,0.1275,0.2078,0.5249,noche,Moderado
REG-00012,VIV-00012,2026-07-01,Argentina,Vivienda,90,6,29.0,1785.0,1.0,0.6667,10.6883,320.65,3.5628,240.49,228465.5,ARS,0.1283,0.1264,0.267,0.4783,noche,Moderado
REG-00013,VIV-00013,2026-07-01,Peru,Vivienda,71,4,22.0,1850.0,1.0,0.3333,12.15,364.5,5.1338,273.38,1025.17,PEN,0.1357,0.1928,0.1933,0.4782,noche,Moderado
