id_inmueble,tipo_establecimiento,superficie_m2,habitantes_empleados,pais_ubicacion
VIV-00001,Vivienda,97,6,Peru
COM-00002,Comercio,169,11,Mexico
VIV-00003,Vivienda,73,6,Brasil
VIV-00004,Vivienda,40,2,Peru
COM-00005,Comercio,117,5,Brasil
VIV-00006,Vivienda,104,1,Brasil
VIV-00007,Vivienda,131,4,Chile
COM-00008,Comercio,47,6,Argentina
VIV-00009,Vivienda,48,6,Mexico
VIV-00010,Vivienda,69,3,Argentina
VIV-00011,Vivienda,103,2,Mexico
VIV-00012,Vivienda,90,6,Argentina
VIV-00013,Vivienda,71,4,Peru
VIV-00014,Vivienda,105,4,Mexico
COM-00015,Comercio,115,4,Peru
VIV-00016,Vivienda,87,1,Chile
VIV-00017,Vivienda,52,1,Argentina
VIV-00018,Vivienda,77,3,Chile
VIV-00019,Vivienda,132,4,Argentina
VIV-00020,Vivienda,59,5,Brasil
VIV-00021,Vivienda,124,2,Argentina
VIV-00022,Vivienda,100,5,Argentina
COM-00023,Comercio,96,9,Colombia
VIV-00024,Vivienda,127,1,Argentina
VIV-00025,Vivienda,124,3,Brasil
VIV-00026,Vivienda,62,2,Chile
COM-00027,Comercio,98,4,Peru
COM-00028,Comercio,199,2,Argentina
VIV-00029,Vivienda,79,2,Argentina
COM-00030,Comercio,111,5,Colombia
VIV-00031,Vivienda,74,6,Brasil
VIV-00032,Vivienda,126,4,Mexico
VIV-00033,Vivienda,58,6,Peru
COM-00034,Comercio,165,11,Colombia
VIV-00035,Vivienda,118,4,Chile
COM-00036,Comercio,191,7,Peru
VIV-00037,Vivienda,134,4,Mexico
VIV-00038,Vivienda,77,1,Mexico
COM-00039,Comercio,153,4,Brasil
COM-00040,Comercio,134,8,Peru
COM-00041,Comercio,120,3,Colombia
COM-00042,Comercio,174,8,Peru
VIV-00043,Vivienda,73,5,Colombia
VIV-00044,Vivienda,108,3,Peru
VIV-00045,Vivienda,111,3,Brasil
VIV-00046,Vivienda,98,2,Colombia
VIV-00047,Vivienda,80,1,Colombia
VIV-00048,Vivienda,82,6,Peru
VIV-00049,Vivienda,125,3,Brasil
COM-00050,Comercio,32,11,Brasil
COM-00051,Comercio,78,12,Peru
VIV-00052,Vivienda,62,4,Mexico
VIV-00053,Vivienda,83,3,Colombia
VIV-00054,Vivienda,121,1,Chile
VIV-00055,Vivienda,114,3,Chile
COM-00056,Comercio,33,12,Brasil
VIV-00057,Vivienda,106,5,Colombia
VIV-00058,Vivienda,63,6,Argentina
VIV-00059,Vivienda,52,2,Brasil
VIV-00060,Vivienda,67,1,Argentina
VIV-00061,Vivienda,113,5,Colombia
VIV-00062,Vivienda,69,5,Brasil
COM-00063,Comercio,106,11,Brasil
VIV-00064,Vivienda,67,6,Mexico
VIV-00065,Vivienda,47,2,Brasil
VIV-00066,Vivienda,118,5,Colombia
VIV-00067,Vivienda,82,3,Argentina
VIV-00068,Vivienda,58,3,Brasil
COM-00069,Comercio,171,11,Brasil
VIV-00070,Vivienda,82,6,Argentina
VIV-00071,Vivienda,102,1,Brasil
VIV-00072,Vivienda,109,2,Colombia
VIV-00073,Vivienda,97,3,Mexico
VIV-00074,Vivienda,67,4,Argentina
VIV-00075,Vivienda,94,1,Brasil
COM-00076,Comercio,31,6,Peru
VIV-00077,Vivienda,127,5,Mexico
VIV-00078,Vivienda,125,5,Chile
VIV-00079,Vivienda,117,3,Brasil
COM-00080,Comercio,159,10,Chile
VIV-00081,Vivienda,115,5,Brasil
COM-00082,Comercio,56,9,Argentina
COM-00083,Comercio,65,4,Argentina
VIV-00084,Vivienda,64,6,Peru
VIV-00085,Vivienda,60,5,Mexico
VIV-00086,Vivienda,102,6,Brasil
VIV-00087,Vivienda,48,4,Chile
VIV-00088,Vivienda,87,6,Argentina
VIV-00089,Vivienda,69,1,Peru
VIV-00090,Vivienda,99,6,Peru
VIV-00091,Vivienda,99,2,Mexico
VIV-00092,Vivienda,48,2,Mexico
COM-00093,Comercio,155,10,Peru
COM-00094,Comercio,194,9,Brasil
VIV-00095,Vivienda,58,1,Colombia
COM-00096,Comercio,33,3,Chile
COM-00097,Comercio,183,9,Mexico
VIV-00098,Vivienda,86,6,Argentina
VIV-00099,Vivienda,86,6,Mexico
COM-00100,Comercio,64,9,Colombia
VIV-00101,Vivienda,89,4,Brasil
COM-00102,Comercio,85,4,Peru
VIV-00103,Vivienda,54,4,Peru
VIV-00104,Vivienda,74,4,Chile
COM-00105,Comercio,31,5,Chile
COM-00106,Comercio,64,3,Chile
COM-00107,Comercio,81,11,Mexico
VIV-00108,Vivienda,100,5,Mexico
VIV-00109,Vivienda,85,4,Colombia
VIV-00110,Vivienda,85,1,Peru
VIV-00111,Vivienda,110,6,Mexico
VIV-00112,Vivienda,108,3,Peru
VIV-00113,Vivienda,102,2,Argentina
VIV-00114,Vivienda,116,5,Peru
COM-00115,Comercio,160,8,Colombia
COM-00116,Comercio,112,12,Argentina
VIV-00117,Vivienda,66,1,Chile
VIV-00118,Vivienda,99,2,Colombia
VIV-00119,Vivienda,51,4,Chile
VIV-00120,Vivienda,85,3,Mexico
COM-00121,Comercio,116,8,Mexico
COM-00122,Comercio,149,3,Chile
VIV-00123,Vivienda,128,3,Argentina
VIV-00124,Vivienda,99,5,Mexico
COM-00125,Comercio,55,8,Argentina
VIV-00126,Vivienda,129,4,Chile
VIV-00127,Vivienda,97,4,Brasil
VIV-00128,Vivienda,62,5,Brasil
COM-00129,Comercio,43,6,Argentina
VIV-00130,Vivienda,159,5,Peru
VIV-00131,Vivienda,91,6,Colombia
COM-00132,Comercio,67,11,Peru
VIV-00133,Vivienda,136,3,Brasil
VIV-00134,Vivienda,67,4,Peru
VIV-00135,Vivienda,84,6,Peru
